subj_id,instructions
GEMS101,"Try to pick the correct color endings at the edge of the circle horizontally. So, if the ending is black on the edges, then pick black edges for the next two rounds. The lines should be clear as well, instead of being blurry.If it is white ending on the edge do the same. More lines doesn't mean more valuable. Instructions may vary. This is a basic hypothesis that can be falsiable."
GEMS102,"It appears that in Quarry 1, you should never click on the same gem 2 times in a row. This leads to negative points. Also, avoid clicking adjacent gems, which also seems to lead to negative points. For Quarry 2, it seems like clicking on gems that are one over from each other, skipping the adjacent, leads to positive points."
GEMS103,"the direction and the number of strips seem to matter a lot. sometimes just a little off the best angle, if there is one, you will be getting a really bad gem"
GEMS104,All of the gems are random... Collect a bunch and I suppose you'll get the most points beacuse theyre mostly positive... Sorry I'm not a helpful pal
GEMS105,Try finding the gem that has the most stripes and is slanted about 45 degrees.Although this was not always the case. I would sometimes just guess randomly because a lot of the time they all looked the same to me.
GEMS106,"The lower left and upper right seem to add a lot of points. Also,  never the thinnest stripes or the thickest stripes have been successful."
GEMS107,I think that what makes a valuable gem is that the bars are clear and evenly spced out between eachother. Most of the time the gems are lined by white and have thick consice bars.
GEMS108,"choose the gem with the lines that are different than the majority of them. if that doesnt work, then you are looking at the wrong ones. they change everytime. it could be that the lines are thicker or that they are thinner but it is different everytime"
GEMS109,I never really figured out what makes some gems more valuable than others. Something that sort of helped me was not chosing in a pattern and also not chosing the one you think you should if that makes sense.
GEMS110,"Typically,I chose the gem whose lines appeared to be closest pointing to a 45 degree angle. I also chose the gems with thinner or more lines. Sometimes I found this method very helful, other times not at all."
GEMS111,"I thought that more lines meant more valuable I also found there was a pattern where I should select a gem with more lines and more rotated clockwise than the gem I had selected previously, however, this theory was not always correct and frustrated me."
GEMS112,"The more similar a gem looks to the one chosen before, the more likely it is to be more valuable. Gems with thicker stripes and gems with too thin of stripes seemed to be less valuable. Gems also seemed more valuable with not too many, but also not too little stripes."
GEMS113,"Even though I don't think it necessarily worked, I tried to choose the gem that looked like it 'did not fit' or the one that looked the most different. However, I looked for other patterns and it seemed to be random."
GEMS114,"the density of lines on the gems may be related to the value.More lines may indicate more value. Besides, the light lines may imply more value than bold lines according to my attempt. There may also exists relationship between the value of the gems and the gardient level of lines on the gems, but I do not figure it out clearly."
GEMS115,"I believe that the gems with the most shine to them are the most valuable.  you can tell based off of how much black to white there is.  with more lines to it, there will be more value."
GEMS116,"I do not think there is much of a difference in the gems. I compared the darkness of the black, the thickness of the lines, the angles in which the lines were going, the shifts of movement in the lines where in such as if the left end starts with a black or white striped line. Nothing helps, so good luck trying to score the most points."
GEMS117,The gems that have white borders on the right and left sides of the circle are more likely to be a postive value than circles that have black borders.
GEMS118,"It seemed that at the start the gems with lines that were more horizontal than verticle were more valuable. Also the gems with more lines seemed to be more valuable. However, it also seemed that as I selected they same style of gems mulitple times in a row, they would lose their value and sometimes even become negative so I recommend switching styles of gems if this happens."
GEMS119,Gems that are more valuable have a greater frequency of white and black lines and those lines are thinner than the lines on less valuable gems.A gem also increases in value the closer its lines get to being about 15 degrees counterclockwise of horizontal.
GEMS120,"Gems are more valuable as the lines become more abundant and 'zoomed out' in the circle. Also, the circle of lines should be rotating clockwise each time to be more valuable."
GEMS121,"The thinner the lines on the gem are, the more valuable it is. Also, the more horizontal those lines are, the more valuable it is."
GEMS122,The value of gems depends on the orientation of the lines on the gems. You want it to be as close to 180 degrees or horizontal as possible
GEMS123,"Pick gems that look similar to the one you previously picked, but less blurry along the stripes. The gem should be slanted the same way as the one you previously picked."
GEMS124,"The gems that are the most valuable I believe to be the ones with the most lines at the greatest angle. These are also the most visually clear, and less blurry."
GEMS125,"The more stripes are on the gem, the more valuable it is. The more it is tilted clockwise, the more it is valuable. Your score is not affected when you choose the same gem."
